Filters:



"Parcel ID","Address"
="012200203031002000","225 LACEY RD       , Birmingham, AL, 35214"
="012200203031003000","223 LACEY RD       , Birmingham, AL, 35214"
="012200203031005000","119 LACEY RD       , Birmingham, AL, 35214"
="012200203031008000","107 LACEY RD, Birmingham, AL, 35214"
="012200203033002000","901 HIXON AVE       , Birmingham, AL, 35214"
="012200203033007000","812 HIXON ST       , Birmingham, AL, 35214"
="012200204004005000","1520 COLUMBIA ST       , Birmingham, AL, 35214"
="012200204023001000","421 MILDRED AVE       , Birmingham, AL, 35214"
="012200212002030000","1936 CLOVER DR       , Birmingham, AL, 35214"
="012200222004014001","3416 6TH ST W       , Birmingham, AL, 35207"
="012200224013007000","2 22ND AVE W       , Birmingham, AL, 35204"
="012200231010002000","2313 26TH ST N       , Birmingham, AL, 35234"
="012200231018003000","2519 26TH AVE N       , Birmingham, AL, 35234"
="012200232001001000","2219 30TH AVE N       , Birmingham, AL, 35207"
="012200232001007000","2909 22ND ST N       , Birmingham, AL, 35207"
="012200232011001000","3011 21ST ST N       , Birmingham, AL, 35207"
="012200232011003000","2100 30TH AVE N       , Birmingham, AL, 35207"
="012200232011004000","2102 30TH AVE N       , Birmingham, AL, 35207"
="012200232012003000","2009 31ST AVE N       , Birmingham, AL, 35207"
="012200232027005000","1909 30TH AVE N       , Birmingham, AL, 35207"
="012200234001002000","2505 23RD AVE N       , Birmingham, AL, 35234"
="012200234005012000","2022 20TH ST N       , Birmingham, AL, 35234"
="012200234005014000","2028 20TH ST N       , Birmingham, AL, 35234"
="012200234005028000","1809 19TH CT N       , Birmingham, AL, 35234"
="012200234005030000","1907 18TH PL N       , Birmingham, AL, 35234"
="012200234005044000","2001 20TH AVE N       , Birmingham, AL, 35234"
="012200234012003000","2515 22ND AVE N       , Birmingham, AL, 35234"
="012200234012005000","2507 22ND AVE N       , Birmingham, AL, 35234"
="012200234021002000","2323 21ST AVE N       , Birmingham, AL, 35234"
="012200234021004000","2311 21ST AVE N       , Birmingham, AL, 35234"
="012200234021013000","2008 24TH ST N       , Birmingham, AL, 35234"
="012200234025003000","1909 STOUTS RD       , Birmingham, AL, 35234"
="012200234025006000","1828 24TH ST N       , Birmingham, AL, 35234"
="012200234025007000","1812 HUNTSVILLE RD       , Birmingham, AL, 35234"
="012200234026003000","1914 STOUTS RD       , Birmingham, AL, 35234"
="012200234026005000","1922 STOUTS RD       , Birmingham, AL, 35234"
="012200234026006000","1924 STOUTS RD       , Birmingham, AL, 35234"
="012200234026007000","1917 DRUID HILL DR       , Birmingham, AL, 35234"
="012200234027004000","2019 20TH AVE N       , Birmingham, AL, 35234"
="012200234030002000","1629 19TH AVE N       , Birmingham, AL, 35234"
="012200234030004000","1619 19TH AVE N       , Birmingham, AL, 35234"
="012200234031002000","2104 18TH AVE N       , Birmingham, AL, 35234"
="012200234032001000","1828 STOUTS RD       , Birmingham, AL, 35234"
="012200234032006000","1613 DRUID HILL DR       , Birmingham, AL, 35234"
="012200234032007000","1609 DRUID HILL DR       , Birmingham, AL, 35234"
="012200234034006000","1607 FRED L SHUTTLESWORTH DR       , Birmingham, AL, 35234"
="012200241004012000","1728 32ND PL N       , Birmingham, AL, 35234"
="012200241004028001","1755 34TH ST N       , Birmingham, AL, 35234"
="012200242008001000","2629 23RD AVE N       , Birmingham, AL, 35234"
="012200242008009000","2208 27TH ST N       , Birmingham, AL, 35234"
="012200242009004000","2211 27TH ST N       , Birmingham, AL, 35234"
="012200242016002000","2817 22ND AVE N       , Birmingham, AL, 35234"
="012200243009008000","2710 15TH AVE N       , Birmingham, AL, 35234"
="012200243018009000","2708 19TH AVE N       , Birmingham, AL, 35234"
="012200243027002000","2625 22ND AVE N       , Birmingham, AL, 35234"
="012200243027011000","2620 21ST AVE N       , Birmingham, AL, 35234"
="012200243027012000","2622 21ST AVE N       , Birmingham, AL, 35234"
="012200244003004000","3308 17TH AVE N       , Birmingham, AL, 35234"
="012200244004003000","3212 17TH AVE N       , Birmingham, AL, 35234"
="012200244004004000","3214 17TH AVE N       , Birmingham, AL, 35234"
="012200244010009000","3319 15TH CT N       , Birmingham, AL, 35234"
="012200244010010000","3313 15TH CT N       , Birmingham, AL, 35234"
="012200244011003000","3435 17TH AVE N       , Birmingham, AL, 35234"
="012200244020028000","1308 33RD ST N       , Birmingham, AL, 35234"
="012200244020035000","1338 33RD ST N       , Birmingham, AL, 35234"
="012200244022024000","1314 31ST ST N       , Birmingham, AL, 35234"
="012200251005001000","1307 29TH ST N       , Birmingham, AL, 35234"
="012200251005002000","1303 29TH ST N       , Birmingham, AL, 35234"
="012200251013005000","1118 27TH PL N       , Birmingham, AL, 35234"
="012200252026003000","2209 15TH AVE N       , Birmingham, AL, 35234"
="012200252036006000","1212 21ST PL N       , Birmingham, AL, 35234"
="012200252037002000","1326 22ND ST N       , Birmingham, AL, 35234"
="012200261002002000","1599 DRUID HILL DR       , Birmingham, AL, 35234"
="012200261002003000","1595 DRUID HILL DR       , Birmingham, AL, 35234"
="012200261002007000","1585 DRUID HILL DR       , Birmingham, AL, 35234"
="012200261002019000","1564 FRED L SHUTTLESWORTH DR       , Birmingham, AL, 35234"
="012200261002026000","1600 FRED L SHUTTLESWORTH DR       , Birmingham, AL, 35234"
="012200261003012000","1577 20TH ST N       , Birmingham, AL, 35234"
="012200261003014000","1569 20TH ST N       , Birmingham, AL, 35234"
="012200261003015000","1561 20TH ST N       , Birmingham, AL, 35234"
="012200261003018000","1541 20TH ST N       , Birmingham, AL, 35234"
="012200261003019000","1539 20TH ST N       , Birmingham, AL, 35234"
="012200261003020000","1537 20TH ST N       , Birmingham, AL, 35234"
="012200261003021000","1533 20TH ST N       , Birmingham, AL, 35234"
="012200261003023000","1527 20TH ST N       , Birmingham, AL, 35234"
="012200261003026000","1528 DRUID HILL DR       , Birmingham, AL, 35234"
